"","eventDate","samplingEffort","samplingProtocol"
"1",2022-11-22,"55 Trap Nights","Camera Trapping"
"2",2016-05-03,NA,"Captured-cage trap"
"3",2022-11-18,"55 Trap Nights","Camera Trapping"
"4",2022-09-10,"82 Trap Nights","Camera Trapping"
"5",2022-10-26,"82 Trap Nights","Camera Trapping"
"6",2022-11-24,"55 Trap Nights","Camera Trapping"
"7",2022-11-12,"55 Trap Nights","Camera Trapping"
"8",NA,NA,NA
"9",2022-10-17,"82 Trap Nights","Camera Trapping"
"10",2021-10-16,NA,"Captured-cage trap"
"11",2022-10-02,"82 Trap Nights","Camera Trapping"
"12",2013-07-23,NA,"Captured-cage trap"
"13",2022-11-04,"82 Trap Nights","Camera Trapping"
"14",2022-09-26,"82 Trap Nights","Camera Trapping"
"15",2022-12-27,"55 Trap Nights","Camera Trapping"
"16",2014-04-07,NA,"Observed-spotlighting"
"17",2022-12-16,"55 Trap Nights","Camera Trapping"
"18",2016-05-04,NA,"Captured-cage trap"
"19",2022-11-03,"82 Trap Nights","Camera Trapping"
"20",2016-05-03,NA,"Captured-cage trap"
"21",2022-12-13,"8 Trap Nights","Cage Trapping"
"22",2022-09-17,"82 Trap Nights","Camera Trapping"
"23",2022-10-10,"82 Trap Nights","Camera Trapping"
"24",2013-07-24,NA,"Captured-cage trap"
"25",2022-12-23,"55 Trap Nights","Camera Trapping"
"26",2016-05-03,NA,"Captured-cage trap"
"27",2022-10-22,"82 Trap Nights","Camera Trapping"
"28",2016-05-06,NA,"Captured-cage trap"
"29",2022-09-24,"82 Trap Nights","Camera Trapping"
"30",2022-10-10,"82 Trap Nights","Camera Trapping"
"31",2022-09-10,"82 Trap Nights","Camera Trapping"
"32",2021-08-31,NA,"Captured-cage trap"
"33",2022-10-18,"82 Trap Nights","Camera Trapping"
"34",2014-04-16,NA,"Observed-spotlighting"
"35",2022-11-18,"55 Trap Nights","Camera Trapping"
"36",2022-10-05,"82 Trap Nights","Camera Trapping"
"37",2022-11-27,"55 Trap Nights","Camera Trapping"
"38",2022-11-16,"55 Trap Nights","Camera Trapping"
"39",2022-10-13,"82 Trap Nights","Camera Trapping"
"40",2016-05-05,NA,"Captured-cage trap"
"41",2022-10-19,"82 Trap Nights","Camera Trapping"
"42",2013-07-24,NA,"Captured-cage trap"
"43",2022-12-13,"55 Trap Nights","Camera Trapping"
"44",2022-12-15,"10 Trap Nights","Cage Trapping"
"45",2022-10-20,"82 Trap Nights","Camera Trapping"
"46",2022-11-20,"55 Trap Nights","Camera Trapping"
"47",2022-09-12,"82 Trap Nights","Camera Trapping"
